id,timestamp,voteUrl,bill,billDescription,billUrl,amendment,amendmentUrl,question,vote,result
[H]-1298,2026-05-06T16:39:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27612,H.5126,Budget,https://www.scstatehouse.gov/billsearch.php?billnumbers=5126&session=126&headerfooter=0,30A,https://scstatehouse.gov/amendments.php?KEY=34659,Adopt Amendment 30A Amendment #30A,N/V,Passed
[H]-1299,2026-05-06T16:46:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27613,H.5126,Budget,https://www.scstatehouse.gov/billsearch.php?billnumbers=5126&session=126&headerfooter=0,30A,https://scstatehouse.gov/amendments.php?KEY=34659,Table Motion to Reconsider Amendment 30A Amendment #30A,Nay,Passed
[H]-1300,2026-05-06T16:52:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27615,H.5126,Budget,https://www.scstatehouse.gov/billsearch.php?billnumbers=5126&session=126&headerfooter=0,34,https://scstatehouse.gov/amendments.php?KEY=34666,Adopt Amendment 34A Amendment #34,Yea,Passed
[H]-1301,2026-05-06T16:53:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27616,H.5126,Budget,https://www.scstatehouse.gov/billsearch.php?billnumbers=5126&session=126&headerfooter=0,35,https://scstatehouse.gov/amendments.php?KEY=34667,Adopt Amendment 35A Amendment #35,Yea,Passed
[H]-1302,2026-05-06T17:06:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27617,H.5126,Budget,https://www.scstatehouse.gov/billsearch.php?billnumbers=5126&session=126&headerfooter=0,36A,https://scstatehouse.gov/amendments.php?KEY=34668,Table Amendment 36A Amendment #36A,Nay,Passed
[H]-1303,2026-05-06T18:23:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27619,S.883,Sine Die 2026,https://www.scstatehouse.gov/billsearch.php?billnumbers=883&session=126&headerfooter=0,,,Adjourn For The Day,N/V,Failed
[H]-1304,2026-05-06T19:00:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27620,S.883,Sine Die 2026,https://www.scstatehouse.gov/billsearch.php?billnumbers=883&session=126&headerfooter=0,1,https://scstatehouse.gov/amendments.php?KEY=34670,Adopt Amendment 1 Amendment #1,Yea,Passed
[H]-1305,2026-05-06T19:03:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27621,S.883,Sine Die 2026,https://www.scstatehouse.gov/billsearch.php?billnumbers=883&session=126&headerfooter=0,,,Table Motin to Reconsider the Vote,Yea,Passed
[H]-1306,2026-05-06T19:12:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27622,S.883,Sine Die 2026,https://www.scstatehouse.gov/billsearch.php?billnumbers=883&session=126&headerfooter=0,3,https://scstatehouse.gov/amendments.php?KEY=34676,Table Amendment 3 Amendment #3,Yea,Passed
[H]-1307,2026-05-06T19:16:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27623,S.883,Sine Die 2026,https://www.scstatehouse.gov/billsearch.php?billnumbers=883&session=126&headerfooter=0,4,https://scstatehouse.gov/amendments.php?KEY=34677,Table Amendment 4 Amendment #4,Yea,Passed
