code,district,name,party,bioUrl,photoUrl
1365908927,33,Representative Travis A. Moore,R,https://www.scstatehouse.gov/member.php?code=1365908927,https://www.scstatehouse.gov/images/members/1365908927.jpg
0522159029,34,Representative Sarita L. Edgerton,R,https://www.scstatehouse.gov/member.php?code=0522159029,https://www.scstatehouse.gov/images/members/0522159029.jpg
0351704504,35,"Representative William M. ""Bill"" Chumley",R,https://www.scstatehouse.gov/member.php?code=0351704504,https://www.scstatehouse.gov/images/members/0351704504.jpg
0764772636,36,"Representative Robert J. ""Rob"" Harris",R,https://www.scstatehouse.gov/member.php?code=0764772636,https://www.scstatehouse.gov/images/members/0764772636.jpg
1120454411,37,Representative Steven Wayne Long,R,https://www.scstatehouse.gov/member.php?code=1120454411,https://www.scstatehouse.gov/images/members/1120454411.jpg
1130965774,38,Representative Josiah Magnuson,R,https://www.scstatehouse.gov/member.php?code=1130965774,https://www.scstatehouse.gov/images/members/1130965774.jpg
0608238564,39,"Representative Cally R. ""Cal"" Forrest, Jr.",R,https://www.scstatehouse.gov/member.php?code=0608238564,https://www.scstatehouse.gov/images/members/0608238564.jpg
1912499771,40,"Representative Joseph S. ""Joe"" White",R,https://www.scstatehouse.gov/member.php?code=1912499771,https://www.scstatehouse.gov/images/members/1912499771.jpg
1221590763,41,Representative Annie E. McDaniel,D,https://www.scstatehouse.gov/member.php?code=1221590763,https://www.scstatehouse.gov/images/members/1221590763.jpg
0675426055,42,"Representative Leon D. ""Doug"" Gilliam",R,https://www.scstatehouse.gov/member.php?code=0675426055,https://www.scstatehouse.gov/images/members/0675426055.jpg
1087499870,43,"Representative Thomas R. ""Randy"" Ligon",R,https://www.scstatehouse.gov/member.php?code=1087499870,https://www.scstatehouse.gov/images/members/1087499870.jpg
1403977105,44,Representative Mike M. Neese,R,https://www.scstatehouse.gov/member.php?code=1403977105,https://www.scstatehouse.gov/images/members/1403977105.jpg
1418607785,45,Representative Brandon Newton,R,https://www.scstatehouse.gov/member.php?code=1418607785,https://www.scstatehouse.gov/images/members/1418607785.jpg
1649715712,46,Representative Heath Sessions,R,https://www.scstatehouse.gov/member.php?code=1649715712,https://www.scstatehouse.gov/images/members/1649715712.jpg
1484090731,47,"Representative Thomas E. ""Tommy"" Pope",R,https://www.scstatehouse.gov/member.php?code=1484090731,https://www.scstatehouse.gov/images/members/1484090731.jpg
0730681731,48,Representative Brandon Guffey,R,https://www.scstatehouse.gov/member.php?code=0730681731,https://www.scstatehouse.gov/images/members/0730681731.jpg
1002272607,49,Representative John Richard C. King,D,https://www.scstatehouse.gov/member.php?code=1002272607,https://www.scstatehouse.gov/images/members/1002272607.jpg
1645738439,50,Representative Keishan M. Scott,D,https://www.scstatehouse.gov/member.php?code=1645738439,https://www.scstatehouse.gov/images/members/1645738439.jpg
1898863409,51,Representative J. David Weeks,D,https://www.scstatehouse.gov/member.php?code=1898863409,https://www.scstatehouse.gov/images/members/1898863409.jpg
0943181705,52,"Representative Jermaine L. Johnson, Sr.",D,https://www.scstatehouse.gov/member.php?code=0943181705,https://www.scstatehouse.gov/images/members/0943181705.jpg
1998863577,53,"Representative Richard L. ""Richie"" Yow",R,https://www.scstatehouse.gov/member.php?code=1998863577,https://www.scstatehouse.gov/images/members/1998863577.jpg
1126420320,54,Representative Jason S. Luck,D,https://www.scstatehouse.gov/member.php?code=1126420320,https://www.scstatehouse.gov/images/members/1126420320.jpg
